2022-02-26 13:53:51.4645, Unable to read banned.txt
2022-02-26 13:53:51.4645, Adding Test Frequency: 247200000
2022-02-26 13:53:51.4645, Adding Test Frequency: 120300000
2022-02-26 13:53:51.4645, Adding Global Frequency: 248220000
2022-02-26 13:53:51.5556, DCS-SRS Server Running - 1.9.9.0
2022-02-26 13:53:51.9856, EVENT, TRANSMISSION LOGGING ENABLED
2022-02-26 13:53:52.8655, Running latest stable version: 1.9.9.0
2022-02-26 18:22:54.3731, TRANSMISSION, 6CYmpKbEREiGHdLLjupTcg, Scurrdi, 2, 69.420 FM. 2022-02-26 6:22:38 PM, 2022-02-26 6:22:53 PM, 75.33.150.12:64260
2022-02-26 18:23:07.5234, TRANSMISSION, wSmVAf8qlkes0RLBnT3btA, Zykstar, 2, 69.420 FM. 2022-02-26 6:22:59 PM, 2022-02-26 6:23:06 PM, 134.41.0.42:61761
2022-02-26 18:23:13.0915, TRANSMISSION, wSmVAf8qlkes0RLBnT3btA, Zykstar, 2, 69.420 FM. 2022-02-26 6:23:07 PM, 2022-02-26 6:23:12 PM, 134.41.0.42:61761
2022-02-26 18:23:27.7265, TRANSMISSION, 6CYmpKbEREiGHdLLjupTcg, Scurrdi, 2, 69.420 FM. 2022-02-26 6:23:23 PM, 2022-02-26 6:23:27 PM, 75.33.150.12:64260
2022-02-26 18:23:29.7495, TRANSMISSION, wSmVAf8qlkes0RLBnT3btA, Zykstar, 2, 69.420 FM. 2022-02-26 6:23:27 PM, 2022-02-26 6:23:29 PM, 134.41.0.42:61761
2022-02-26 18:24:29.9915, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:24:18 PM, 2022-02-26 6:24:29 PM, 108.63.217.4:54805
2022-02-26 18:26:44.1805, TRANSMISSION, Za_RCuP13U6NzPSWDrFCvQ, Relais, 2, 69.420 FM. 2022-02-26 6:26:42 PM, 2022-02-26 6:26:43 PM, 108.63.217.4:54805
2022-02-26 18:27:29.6435, Disconnecting Client
2022-02-26 18:27:29.6435, Removed Disconnected Client 6CYmpKbEREiGHdLLjupTcg
2022-02-26 18:27:44.8901, TRANSMISSION, 6CYmpKbEREiGHdLLjupTcg, Scurrdi, 2, 69.420 FM. 2022-02-26 6:27:38 PM, 2022-02-26 6:27:44 PM, 75.33.150.12:51772
