2022-03-05 17:31:50.9986, Unable to read banned.txt
2022-03-05 17:31:51.0136, Adding Test Frequency: 247200000
2022-03-05 17:31:51.0136, Adding Test Frequency: 120300000
2022-03-05 17:31:51.0136, Adding Global Frequency: 248220000
2022-03-05 17:31:51.2336, DCS-SRS Server Running - 1.9.9.0
2022-03-05 17:31:51.5287, EVENT, TRANSMISSION LOGGING ENABLED
2022-03-05 17:31:53.6138, Running latest stable version: 1.9.9.0
2022-03-05 17:32:23.8847, Disconnecting Client
2022-03-05 17:32:23.8847, Removed Disconnected Client UjfQ8J2j1Uu3s9DdnspSLQ
2022-03-05 17:36:39.2615, Disconnecting Client
2022-03-05 17:36:39.2615, Removed Disconnected Client E1Q_LEj6C0qVLMFEDLf1-w
2022-03-05 18:00:42.7422, Disconnecting Client
2022-03-05 18:00:42.7422, Removed Disconnected Client GZf3iEU6Ak2olmB77xfedQ
2022-03-05 18:48:07.4492, TRANSMISSION, E1Q_LEj6C0qVLMFEDLf1-w, Relais, 2, 69.420 FM. 2022-03-05 6:48:04 PM, 2022-03-05 6:48:06 PM, 108.63.217.4:64921
2022-03-05 18:48:59.0619, TRANSMISSION, i9V87lUEaEWtKMqOtFkzWw, Neddie, 2, 69.420 FM. 2022-03-05 6:48:55 PM, 2022-03-05 6:48:58 PM, 127.0.0.1:61992
2022-03-05 18:50:17.9964, TRANSMISSION, EgXo_bABvUeQvTx-t1CDdA, Scurrdi, 2, 69.420 FM. 2022-03-05 6:50:00 PM, 2022-03-05 6:50:17 PM, 75.33.150.12:58053
2022-03-05 18:50:20.5440, TRANSMISSION, i9V87lUEaEWtKMqOtFkzWw, Neddie, 2, 69.420 FM. 2022-03-05 6:50:18 PM, 2022-03-05 6:50:19 PM, 127.0.0.1:61992
2022-03-05 18:50:31.1650, TRANSMISSION, xosCXmiFLkOkSU_-9rm9Fg, Spurs, 2, 69.420 FM. 2022-03-05 6:50:20 PM, 2022-03-05 6:50:30 PM, 14.12.150.192:60113
2022-03-05 18:50:35.7354, TRANSMISSION, xosCXmiFLkOkSU_-9rm9Fg, Spurs, 2, 69.420 FM. 2022-03-05 6:50:31 PM, 2022-03-05 6:50:35 PM, 14.12.150.192:60113
2022-03-05 18:50:48.3636, TRANSMISSION, i9V87lUEaEWtKMqOtFkzWw, Neddie, 2, 69.420 FM. 2022-03-05 6:50:36 PM, 2022-03-05 6:50:47 PM, 127.0.0.1:61992
2022-03-05 18:50:57.9830, TRANSMISSION, i9V87lUEaEWtKMqOtFkzWw, Neddie, 2, 69.420 FM. 2022-03-05 6:50:56 PM, 2022-03-05 6:50:57 PM, 127.0.0.1:61992
2022-03-05 18:51:46.5734, TRANSMISSION, i9V87lUEaEWtKMqOtFkzWw, Neddie, 2, 69.420 FM. 2022-03-05 6:51:27 PM, 2022-03-05 6:51:46 PM, 127.0.0.1:61992
2022-03-05 18:51:52.1530, TRANSMISSION, EgXo_bABvUeQvTx-t1CDdA, Scurrdi, 2, 69.420 FM. 2022-03-05 6:51:49 PM, 2022-03-05 6:51:51 PM, 75.33.150.12:58053
2022-03-05 18:51:54.6684, TRANSMISSION, i9V87lUEaEWtKMqOtFkzWw, Neddie, 2, 69.420 FM. 2022-03-05 6:51:53 PM, 2022-03-05 6:51:54 PM, 127.0.0.1:61992
2022-03-05 18:53:22.8155, TRANSMISSION, ucmMQDWg10-IYnmMgdXxJw, Zykstar, 2, 69.420 FM. 2022-03-05 6:53:19 PM, 2022-03-05 6:53:22 PM, 134.41.0.42:59946
2022-03-05 18:53:48.1639, TRANSMISSION, ucmMQDWg10-IYnmMgdXxJw, Zykstar, 2, 69.420 FM. 2022-03-05 6:53:45 PM, 2022-03-05 6:53:47 PM, 134.41.0.42:59946
2022-03-05 18:54:59.5973, TRANSMISSION, EgXo_bABvUeQvTx-t1CDdA, Scurrdi, 2, 69.420 FM. 2022-03-05 6:54:56 PM, 2022-03-05 6:54:58 PM, 75.33.150.12:58053
2022-03-05 18:55:11.2568, TRANSMISSION, GZf3iEU6Ak2olmB77xfedQ, Tofutakeout, 2, 69.420 FM. 2022-03-05 6:55:01 PM, 2022-03-05 6:55:10 PM, 45.51.249.70:63263
